Order ID,Order Date,Customer,Region,Customer Segment,Category,Product,Quantity,Discount,Sales,Profit,Order Month,Order Year,Profit Margin
ORD-0001,2024-02-27,Customer 058,North,Small Business,Office Supplies,Pen Set,5,0.02,86.53529839023109,44.99835516292017,Feb,2024,0.52
ORD-0002,2024-02-22,Customer 008,North,Small Business,Technology,Keyboard,7,0.0,437.6267521513107,140.04056068841942,Feb,2024,0.32
ORD-0003,2024-04-21,Customer 051,South,Small Business,Technology,Monitor,1,0.1,232.7698866864411,74.48636373966114,Apr,2024,0.31999999999999995
ORD-0004,2024-11-28,Customer 072,West,Consumer,Office Supplies,Paper,8,0.1,67.49812883951135,35.0990269965459,Nov,2024,0.52
ORD-0005,2024-01-04,Customer 072,South,Small Business,Office Supplies,Stapler,7,0.05,91.9819720337159,47.83062545753227,Jan,2024,0.52
ORD-0006,2024-04-20,Customer 025,East,Consumer,Technology,Keyboard,2,0.08,93.3183942736664,29.861886167573243,Apr,2024,0.31999999999999995
ORD-0007,2024-06-25,Customer 032,East,Consumer,Furniture,Office Chair,8,0.1,1354.2720538315457,514.6233804559873,Jun,2024,0.37999999999999995
ORD-0008,2024-02-10,Customer 050,East,Small Business,Furniture,Desk,6,0.1,1924.7631425727538,731.4099941776465,Feb,2024,0.38
ORD-0009,2024-02-05,Customer 021,North,Small Business,Office Supplies,Paper,4,0.05,35.646696018436785,18.53628192958713,Feb,2024,0.52
ORD-0010,2024-04-29,Customer 094,North,Corporate,Office Supplies,Desk Organizer,5,0.08,108.40337511569913,56.36975506016355,Apr,2024,0.52
ORD-0011,2024-07-08,Customer 019,East,Consumer,Technology,Keyboard,5,0.15,206.99913889624384,66.23972444679802,Jul,2024,0.31999999999999995
ORD-0012,2024-11-21,Customer 119,South,Small Business,Office Supplies,Notebook,4,0.02,53.713831050339046,27.931192146176304,Nov,2024,0.52
ORD-0013,2024-05-18,Customer 059,South,Small Business,Furniture,Desk,6,0.0,2121.1382649909383,806.0325406965566,May,2024,0.38
ORD-0014,2024-01-17,Customer 055,East,Corporate,Office Supplies,Desk Organizer,5,0.0,103.1064715871448,53.615365225315294,Jan,2024,0.52
ORD-0015,2024-06-10,Customer 118,South,Small Business,Office Supplies,Notebook,8,0.08,82.05747089800741,42.669884866963855,Jun,2024,0.52
ORD-0016,2024-05-15,Customer 150,South,Consumer,Technology,Keyboard,5,0.15,217.27511712812483,69.52803748099994,May,2024,0.31999999999999995
ORD-0017,2024-10-25,Customer 131,West,Corporate,Furniture,Desk,4,0.02,1206.9151967834798,458.6277747777223,Oct,2024,0.38
ORD-0018,2024-02-16,Customer 041,North,Consumer,Furniture,Bookshelf,3,0.15,390.7942204768193,148.50180378119134,Feb,2024,0.38
